Package,Function,Definition
.Primitive,<-,Assign a name to an object in R (assignment operator)
.Primitive,(...),Enclose arguments in a function
.Primitive,c,Combine objects
utils,?,Access help documentation for a given function
base,ls,List objects in an environment
base,install.packages,Add a new package to a user's computer
base,library,Add a package to a user's current R session
base,mean,"Calculate the average of a set of values (note, use na.rm = TRUE in the presence of NA values)"
base,rm,Remove an assignment from an environment
stringr,str_c,Combine two word values into a single value
