Package,Function,Definition
.Primitive,c,Combine values to form an atomic vector
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,attributes,"Print the attributes of a data object, or assign new attributes to an object"
.Primitive,class,Print the class of an object as a one-value character vector
.Primitive,list,"Combine multiple objects of any type into a single, recursive, data object"
base,typeof,Print a one-value character vector that represents how a data object is stored on your computer
base,length,"Determine the length of an object -- for atomic vectors and matrices, this returns the number of values; for lists and data frames, this returns the number of component objects"
base,matrix,Generate a matrix object by adding dimensional attributes to an atomic vector
base,nrow,Print the number of rows in a data frame or matrix
base,ncol,Print the number of columns in a data frame or matrix
base,dim,Print the number of rows and columns of a two-dimensional object
base,row.names,"Assign row names to a matrix or data frame, or print assigned row names"
base,colnames,"Assign column names to a matrix, or print assigned column names"
base,names,"Assign names to the children of a parent object, or print assigned names"
base,data.frame,Arrange equal-length vectors into a data frame
base,library,Attach a package to your current R session
tibble,tibble,Column-wise creation of a tibble data frame
readr,read_lines,Read atomic vectors from your hard disk into your current R session
readr,read_csv,Read comma-separated tabular data from your hard disk into your current R session
readr,read_rds,Read an rds file from your hard disk into your current R session
readr,write_lines,Write an atomic vector to your hard disk as a text file
readr,write_csv,Write a data frame to your hard disk as comma-separated values
readr,write_rds,Write any R object to your hard disk as an rds file
utils,?,Prefix operator to retrieve the help file for a function
