Package,Function,Definition
.Primitive,[...],Extraction operator used to index multiple values from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,[[...]],Extraction operator used to index a single value from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,<,Infix relational operator (less than)
.Primitive,>,Infix relational operator (greater than)
base,names,Get or set the names attribute of an object
base,which,Determine the position of a value where a logical test evaluates to TRUE
utils,str,Print the structure of a data object
dplyr,filter,Subset the rows of a data frame by condition
purrr,pluck,Extract a single value or list item from an object by position or name
base,|>,Infix pipe operator that passes the left-hand side (LHS) as the first argument to the function on the right-hand side (RHS)
