Term,Definition
Aesthetic mappings,How the data are mapped to visual attributes.
Assignment (noun),"A reference that R uses to call data from your computer’s memory (also called ""name"")."
Assignment (verb),The act of associating a name with an object (typically to the global environment).
Atomic vector,A one-dimensional homogenous data object.
Body,The set of instructions inside the function (determines what happens when you run a function).
Bounding box,The smallest rectangle that can be drawn around all of the points (or vertices) in a shapefile -- equivalent to spatial extent.
Cartography,The study and practice of making maps.
Centroid,The geographic center of a shapefile.
Child,An object whose name is stored as a reference in a parent object.
Choropleth,A thematic map where a shape's values are mapped to colors.
Class,A blueprint that describes an object's structure.
Compound key (or compound primary key),"A set of variables in a data frame that, combined, represent the primary key of a table."
Coordinate system (in ggplot),"Projection of data (e.g., x and y Cartesian coordinates)."
Coordinate system (in GIS),A model that can be used to locate data on the surface of the Earth.
Coordinate reference system (CRS),The reference system (may be projected or geographic) that allows us to define the location of a geometry on the surface of the Earth.
Code section,A portion of an R script file that is delineated by a section header.
Core tidyverse package or Core tidyverse,Packages that are attached with `library(tidyverse)`.
Conterminous,"Shapes (e.g., states in the United States or adjacent polygons) that share a boundary."
csv file,"A file stored in the ""comma separated values"" format. This describes a plain text file where commas separate values and each record (e.g., row in a data frame) is placed on a new line."
Data (in the Grammar of Graphics),The information being plotted.
Data frame,"A two-dimensional, and potentially heterogeneous data object (that is a restrictive type of list under-the-hood)."
Data object,"Containers for values that structure references in an ordered, predictable way."
Datum,The model used to represent the Earth's surface.
Dissolve (shapefiles),Remove boundaries between features.
Distance matrix,"For shapefiles, this represents the pairwise distances between each feature, and often the pairwise distances between values of each feature."
Double numeric vector,An atomic numeric vector where the values are stored as decimal numbers (essentially).
Environment,A dimensionless container that contains references (names) to data stored in memory.
Environment (of a function),The location of a function's variables.
Endogenous autocorrelation,Autocorrelation generated within a variable itself.
Exogenous autocorrelation,Autocorrelation generated by an outside variable; typically caused by something in the environment which is itself autocorrelated.
Experimental (function),"A function currently being tested for permanent distribution in a package (these functions are usually, but not always, safe to use)."
Extent (of a raster),"The size of a full raster, in the X and Y dimensions."
Facets,"Subsets of data within a given plot (i.e., plots are broken into subplots based on some grouping variable)."
Filter (verb),Subset data by logical condition.
Filtering join,Subset a target table to only rows in which key values match (or are absent from) the keys within a source table.
Foreign key,A variable in a data frame that refers to the primary key of another data frame.
Formals,Arguments within a function.
Function,A set of instructions used to complete a given task.
Geodetic or Geographic Coordinate Reference System,"An unprojected coordinate reference system where locations are expressed in angular units, usually decimal degrees."
Geographic Information System (GIS),"Any application, or set of applications, that is used to create, manage, analyze, and visualize geospatial data."
Geometry,The coordinates of points or vertices of an sfg object.
Global Moran's I,Spatial autocorrelation across all values in a data set.
Global statistic (in *terra*),A common statistic across all cells in a raster.
Grain or Spatial grain,The smallest spatial sampling unit of a study.
Infix function,A function in which the name of the function is placed between the function's arguments.
Install (a package),Download the data and functions from a package onto your computer.
Integer,"A whole number, or an atomic vector of data stored as whole numbers."
Inverse distance matrix,"The degree of similarity between points; Weigh points based on how close they are, with closer points receiving a higher weight (This is similar to an inverse distance matrix)."
Inverse-distance-weighting (IDW) model,An interpolation method that calculates a weighted average where locations that are closer to a target cell have a larger impact on the assigned value of that cell.
Iteration,The repeating of a given process a set number of times.
Key (variable),A variable in a data frame that is used to identify unique records.
Kriging model,An interpolation method that uses a semivariogram to weigh the predicted values based on the scale of spatial autocorrelation in the data.
Lag distance,The pairwise distances between each point in the system.
Latitude,"A point's angular location, in the Y-dimension, relative to the geographic center of the Earth. In decimal degrees, the latitude is always positive north of the Equator and negative south of the Equator!"
Layers (geometries),Expression of the data in the plot.
Line or Linestring (shapefiles),A one-dimensional geometry containing a sequence of vertices (points) connected by straight lines.
List,"A one dimensional, and potentially heterogeneous, data object."
List item,A data object contained within a list.
Longitude,"A point's angular location, in the X-dimension, relative to the prime meridian. In decimal degrees, the longitude is always negative in the Western Hemisphere and positive in the Eastern Hemisphere!"
Matrix,A two-dimensional homogeneous data object (that is an atomic vector under-the-hood).
Memory (RAM),A temporary storage location for instructions (functions) and data.
Minimum convex polygon,The smallest polygon that contains all point features in a shapefile and does not have any angle is greater than 180$^\circ$.
Moran's correlogram,A method used to calculate the degree of spatial autocorrelation at given pairwise distance classes.
Moran's I statistic,Represents the degree of similarity in space (how spatially dependent the data are).
Multipoint,A geometry that contains one or more points within a single geometry object.
Metadata,"Descriptive information that provides crucial summary details about a data object. For geospatial data, this should always include the coordinate reference system!"
Mutating join,Use matching keys to add columns to a target table from a source table.
Mutation,The process of adding columns to a data frame and/or modifying existing columns (or adding/modifying list items to/in a list).
Name,"A reference that R uses to call data from your computer’s memory (also called ""assignment"")."
Negated selection,"The use of the negative symbol (`-`) or, more recently, the *not* operator (`!`) to select all columns *except* the supplied column or columns."
Negative spatial autocorrelation,Near values are less similar than would be expected by random chance.
Neighbors weights object,"The degree of similarity between polygons; Weigh polygons based on how close they are, with closer polygons receiving a higher weight (This is similar to an inverse distance matrix)."
Nugget,"The expected difference in semivariance between infinitesimally close distances. If spatial processes are the only determinant of variance in the data, then we would expect the nugget to be zero."
Observation,A row within a data frame.
Order,The position of values (or child objects) within a data object.
Origin (of a raster),The X and Y location of the lower left-hand corner.
Positive spatial autocorrelation,Near values are more similar than far values.
Package environment,A collection of variable names associated with objects in a package.
Parent,An object or environment that contains references to other objects.
Point (shapefiles),A zero-dimensional geometry containing a single point.
Polygon (shapefiles),Two-dimensional geometry containing a sequence of vertices (points) forming a closed ring of straight lines.
Predicate (function),"A logical test (i.e., it will return a Boolean TRUE or FALSE)."
Prefix function,A function in which the name of the function precedes the target of the evaluation.
Primary key,A variable in a data frame that is used to identify unique records.
Prime meridian,The location of 0 degrees longitude.
Primitive function,A function written in C code and made available to use through the base R package.
Project,A collection of files that is referenced by a `.RProj` file.
Projected Coordinate Reference System,A coordinate reference system where the data are transformed to a projection and the locations are expressed in linear units relative to some origin point (typically in meters).
Projection (GIS),A model used to transform data and the coordinate system on a flat surface.
Range,The distance between points at which we consider samples to be spatially independent.
Raster,"A continuous surface of pixels (i.e., raster cells) arranged in a grid."
Raster stack,"A single raster file with multiple raster layers that share the same CRS, resolution, and extent."
RDS file,"A storage format for data sets that are written in, and written for, program R."
Recursive object,"Objects that are made up of references to other objects (e.g., a list)."
Relative file path,The path to a file on your hard drive relative to the current working directory.
Resolution (rasters),The distance covered by each map pixel of a raster (can be expressed in one or two dimensions).
