Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,::,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,c,Combine values to form an atomic vector
.Primitive,dim,Return the number of dimensions of an object as an integer vector
.Primitive,length,Return the number of values in an atomic vector or the number of list items in a list (or data frame!) as a one-value integer vector
.Primitive,list,"Combine multiple objects of any type into a single, recursive, data object"
.Primitive,max,Return the highest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,min,Return the lowest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
base,factor,Convert a character vector to a factor
base,file.remove,Delete a file from your hard drive
base,levels,Generate a character vector of factor levels in a factor variable
base,library,Attach the package environment for a given package to the current R session
base,list.files,List files in a specified folder on your computer's hard drive
base,mean,Generate a one-value double numeric vector that describes the mean of a vector
base,ncol,"Return the number of columns (i.e., variables or list items) in a data frame as a one-value integer vector"
base,nrow,"Return the number of rows (i.e., observations) in a data frame as a one-value integer vector"
base,summary,Print summary stats for a data object
base,table,Count the number of unique observations in an atomic vector
base,unique,Subset an atomic vector to the unique values in the set
dplyr,arrange,Sort the rows of a data frame by the values in a variable or variables
dplyr,desc,"When used with `arrange()`, this sorts the rows of a data frame by the values of a variable in descending order"
dplyr,slice_head,Subset a data frame to the first row (default) or rows
dplyr,slice_tail,Subset a data frame to the last row (default) or rows
readr,read_csv,Read a tabular csv file into R as a tibble data frame
readr,read_lines,Read an atomic vector into R
readr,read_rds,Read an RDS file into R
readr,write_csv,Write a data frame to your hard drive as a csv file
readr,write_lines,Write an atomic vector to your hard drive as a txt file
readr,write_rds,Write a data object to your hard drive as an RDS file
readxl,excel_sheets,Return the names of worksheets in an Excel file
readxl,read_excel,Read an Excel worksheet into R
stats,median,Calculate the median value of a numeric vector and return as a one-value double numeric or integer vector
stats,sd,Calculate the standard deviation of a numeric vector and return as a one-value double numeric vector
stats,var,Calculate the variance of a numeric vector and return as a one-value double numeric vector
utils,str,View the structure of a data object
