Package,Function,First lesson used,Definition
.Primitive,(...),0.1-intro_to_r_and_rstudio,Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,0.1-intro_to_r_and_rstudio,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,0.1-intro_to_r_and_rstudio,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,1.3_objects,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,0.2-values,Infix operator that generates a regular sequence of adjacent values
.Primitive,::,1.3_objects,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,[…],0.4-indexing,Extraction operator used to index multiple values from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,[[…]],0.4-indexing,Extraction operator used to index a single value from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,0.4-indexing,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,0.2-values,Infix relational operator (is equal to)
.Primitive,!=,0.2-values,Infix relational operator (is not equal to)
.Primitive,!,1.3_objects,Prefix logical operator (not)
.Primitive,&,0.2-values,Prefix logical operator (and)
.Primitive,|,0.2-values,Prefix logical operator (or)
.Primitive,>,0.2-values,Infix relational operator (greater than)
.Primitive,<,0.2-values,Infix relational operator (less than)
.Primitive,<=,0.2-values,Infix relational operator (less than or equal to)
.Primitive,+,0.1-intro_to_r_and_rstudio,Infix arithmetic operator (addition)
.Primitive,-,0.2-values,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,0.3-objects,Infix arithmetic operator (divide)
.Primitive,as.character,0.2-values,Transform an atomic vector to a character vector
.Primitive,as.integer,0.2-values,Transform an atomic vector to an integer vector
.Primitive,as.numeric,0.2-values,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,attributes,0.3-objects,Generate and print a list that represents the attributes of a data object
.Primitive,c,0.1-intro_to_r_and_rstudio,Combine values to form an atomic vector
.Primitive,class,0.2-values,Print the class of an object as a one-value character vector
.Primitive,dim,0.3-objects,Return the number of dimensions of an object as an integer vector
.Primitive,length,0.3-objects,Return the number of values in an atomic vector or the number of list items in a list (or data frame!) as a one-value integer vector
.Primitive,list,0.3-objects,"Combine multiple objects of any type into a single, recursive, data object"
.Primitive,max,1.4_importing_exploring_exporting,Return the highest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,min,1.4_importing_exploring_exporting,Return the lowest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,names,0.3-objects,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
.Primitive,sum,0.2-values,Calculate the sum of the values in a vector
base,%in%,0.2-values,Infix relational operator that tests whether the vector on the left-hand-side (LHS) is within the vector on the right
base,data.frame,0.3-objects,Create a data frame
base,environment,1.3_objects,Print the environment of a given function
base,factor,0.2-values,Convert a character vector to a factor
base,file.remove,1.4_importing_exploring_exporting,Delete a file from your hard drive
base,levels,1.4_importing_exploring_exporting,Generate a character vector of factor levels in a factor variable
base,library,0.1-intro_to_r_and_rstudio,Attach the package environment for a given package to the current R session
base,list.files,1.4_importing_exploring_exporting,List files in a specified folder on your computer's hard drive
base,ls,0.1-intro_to_r_and_rstudio,Generate a character vector of names in a specified environment (default is the global environment)
base,matrix,0.3-objects,Generate a matrix object by adding dimensional attributes to an atomic vector
base,mean,0.1-intro_to_r_and_rstudio,Generate a one-value double numeric vector that describes the mean of a vector
base,ncol,0.3-objects,"Return the number of columns (i.e., variables or list items) in a data frame as a one-value integer vector"
base,nrow,0.3-objects,"Return the number of rows (i.e., observations) in a data frame as a one-value integer vector"
base,rm,0.1-intro_to_r_and_rstudio,Remove a name from a specified environment (default is the global environment)
base,search,1.3_objects,Print a character vector of attached objects associated with your current R session
base,summary,1.4_importing_exploring_exporting,Print summary stats for a data object
