Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,{…},Operator that passes the last operation in `{...}` to the global environment
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,*,Infix arithmetic operator (multiply)
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,as.numeric,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,c,Combine values to form an atomic vector
.Primitive,function,Write a custom function
.Primitive,length,Return the number of values in an atomic vector or the number of list items in a list (or data frame!) as a one-value integer vector
.Primitive,names,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
.Primitive,return,Return the results from a given point in a function's body (do not use for the last value!)
.Primitive,sqrt,Calculate the square root of a numeric vector
base,body,Print the body of an R function
base,environment,Print the environment of a given function
base,formals,Print the formals of an R function
base,function,Initiate the creation of a custom function
base,library,Attach the package environment for a given package to the current R session
base,ls,Generate a character vector of names in a specified environment (default is the global environment)
base,mean,Generate a one-value double numeric vector that describes the mean of a vector
base,rm,Remove a name from a specified environment (default is the global environment)
base,tolower,Convert a character vector to lowercase
dplyr,pull,Extract a column from a data frame as a vector
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
purrr,pluck,Extract a list item from a list
readr,read_csv,Read a tabular csv file into R as a tibble data frame
readr,read_rds,Read an RDS file into R
rlang,set_names,Assign names to values in a vector or items in a list
sf,st_as_sf,Convert a data frame to an sf object
sf,st_transform,Transform the CRS of a shapefile to a different CRS
stats,sd,Calculate the standard deviation of a numeric vector and return as a one-value double numeric vector
