Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,{…},Operator that passes the last operation in `{...}` to the global environment
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,[[…]],Extraction operator used to index a single value from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,as.numeric,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,c,Combine values to form an atomic vector
.Primitive,function,Write a custom function
.Primitive,length,Return the number of values in an atomic vector or the number of list items in a list (or data frame!) as a one-value integer vector
.Primitive,list,"Combine multiple objects of any type into a single, recursive, data object"
.Primitive,max,Return the highest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,min,Return the lowest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,names,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
base,file.path,Create a file path by concatenating strings
base,function,Initiate the creation of a custom function
base,library,Attach the package environment for a given package to the current R session
base,list.files,List files in a specified folder on your computer's hard drive
base,list2env,Assign the items in a list to a specified environment
base,mean,Generate a one-value double numeric vector that describes the mean of a vector
base,rm,Remove a name from a specified environment (default is the global environment)
base,unique,Subset an atomic vector to the unique values in the set
dplyr,across,Apply a function across multiple variables in a data frame
dplyr,bind_rows,Combine rows of two or more tibbles to create a new tibble
dplyr,filter,Subset a data frame by logical condition
dplyr,group_by,Group the data in a data frame by a given variable such that one or more subsequent analyses are run separately on each group
dplyr,mutate,Add or modify a column in a data frame
dplyr,pull,Extract a column from a data frame as a vector
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
dplyr,ungroup,Remove any grouping on a data frame
lubridate,as_date,"Convert properly formatted date, stored as a character or datetime vector, to a date class object"
lubridate,year,Extract the year from a properly formatted date value
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
purrr,map,Iterate across a vector and return a list
purrr,map_dbl,Iterate across a vector and return a double numeric vector
purrr,map_dfr,Iterate across a vector and return a data frame such that a new row is added per iteration
purrr,pluck,Extract a list item from a list
readr,read_csv,Read a tabular csv file into R as a tibble data frame
readr,read_rds,Read an RDS file into R
rlang,set_names,Assign names to values in a vector or items in a list
sf,st_read,Read in a simple features or other GIS shapefile
sf,st_transform,Transform the CRS of a shapefile to a different CRS
tibble,tibble,Column-wise creation of a tibble data frame
tidyselect,matches,"When used with select, this allows you to subset names with string matching"
tidyselect,where,Select a variable with a function that returns `TRUE` or `FALSE`
utils,str,View the structure of a data object
