Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,{…},Operator that passes the last operation in `{...}` to the global environment
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,::,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!=,Infix relational operator (is not equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,^,Infix arithmetic operator (to the power of)
.Primitive,as.numeric,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,c,Combine values to form an atomic vector
.Primitive,class,Print the class of an object as a one-value character vector
.Primitive,names,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
base,%in%,Infix relational operator that tests whether the vector on the left-hand-side (LHS) is within the vector on the right
base,file.path,Create a file path by concatenating strings
base,library,Attach the package environment for a given package to the current R session
base,list2env,Assign the items in a list to a specified environment
base,nrow,"Return the number of rows (i.e., observations) in a data frame as a one-value integer vector"
base,seq,Generate a numeric vector between a range of values by some increment
base,tolower,Convert a character vector to lowercase
dplyr,arrange,Sort the rows of a data frame by the values in a variable or variables
dplyr,bind_rows,Combine rows of two or more tibbles to create a new tibble
dplyr,filter,Subset a data frame by logical condition
dplyr,mutate,Add or modify a column in a data frame
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
ggplot2,+,ggplot's pipe operator (adds a layer to a plot)
ggplot2,aes,Define aesthetics
ggplot2,geom_sf,Add an sf layer to a ggplot
ggplot2,ggplot,"Set the data and, potentially, the aesthetics of a plot"
ggplot2,theme_set,Set the ggplot theme for an entire session
ggplot2,theme_void,A ggplot theme that contains no axes or panel background
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
purrr,map,Iterate across a vector and return a list
rlang,set_names,Assign names to values in a vector or items in a list
sf,st_area,Calculate the area of a polygon shapefile
sf,st_buffer,Create a buffer (shapefile) that extends the boundary of a target shapefile by a given distance
sf,st_centroid,Calculate the geographic center of a set of features
sf,st_convex_hull,Generate a minimum convex polygon for a set of points (the smallest shape that will enclose each point in which no angle is greater than 180 degrees)
sf,st_crop,A type of filtering spatial join in which you subset a target shapefile to the extent of a source shapefile or bounding box
sf,st_crs,Get the CRS of a shapefile
sf,st_difference,A type of filtering spatial join in which you remove portions of a target shapefile that overlap with a source shapefile
sf,st_distance,Calculate the pairwise distance between features in a shapefile (or between different shapefiles)
sf,st_filter,"Conduct a filtering join (i.e., subset geometries) of a target table relative to the geometry of a source table"
sf,st_intersection,A type of mutating *or* filtering spatial join in which you maintain only portions of a target shapefile that overlap with a source shapefile
sf,st_is_valid,A logical test to determine if a feature in a polygon shapefile is valid
sf,st_join,Conduct a mutating join of a target table relative to the geometry of a source table
sf,st_make_valid,Fix invalid features in a polygon shapefile
sf,st_point,Convert a vector of coordinates to a single point
sf,st_read,Read in a simple features or other GIS shapefile
sf,st_sf,Convert a simple features column object to an sf object
sf,st_sfc,Store a geometry in a simple features column object
sf,st_transform,Transform the CRS of a shapefile to a different CRS
sf,st_union,Dissolve boundaries between polygons
tmap,tm_basemap,Add a basemap layer to an interactive tmap
tmap,tm_borders,Add a layer to a tmap that represents the borders of a polygon shapefile
tmap,tm_dots,Add a points layer to a tmap
tmap,tm_polygons,Add a polygon layer to a tmap
tmap,tm_shape,Define the shape that is the source of a tmap layer
tmap,tm_view,"Set the view of an interactive tmap (e.g., zoom level)"
tmap,tmap_mode,"Set a tmap to either ""plot"" (static map) or ""view"" (interactive map)"
tidyselect,everything,"Used in combination with select, this selects all but the specified columns."
units,drop_units,Convert a units object to numeric
units,set_units,"Convert a units object from one type of unit to another (e.g., meters to kilometers or degrees Fahrenheit to degrees Celsius)"
