Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,::,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,|,Prefix logical operator (or)
.Primitive,>,Infix relational operator (greater than)
.Primitive,<=,Infix relational operator (less than or equal to)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,*,Infix arithmetic operator (multiply)
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,^,Infix arithmetic operator (to the power of)
.Primitive,c,Combine values to form an atomic vector
.Primitive,is.na,A logical test of whether a value in a vector is [NA]
base,%in%,Infix relational operator that tests whether the vector on the left-hand-side (LHS) is within the vector on the right
base,as.matrix,Convert a data frame to a matrix
base,cut,Convert a numeric vector into a factor
base,data.frame,Create a data frame
base,library,Attach the package environment for a given package to the current R session
base,source,Execute a source script (in its entirety)
base,unique,Subset an atomic vector to the unique values in the set
dplyr,case_when,Classify or reclassify a vector into two or more  classes based on a series of logical tests
dplyr,distinct,Subset a data frame by removing duplicate rows
dplyr,filter,Subset a data frame by logical condition
dplyr,if_else,Classify or reclassify a vector into two classes by applying a logical test and assigning one value if the test evaluates to `TRUE` and another if it evaluates to `FALSE`
dplyr,left_join,"A mutating join that joins a source table to a target table and maintains all records found in the target table, regardless of matching key values"
dplyr,mutate,Add or modify a column in a data frame
dplyr,n,Calculate the number of observations (rows)
dplyr,pull,Extract a column from a data frame as a vector
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
forcats,fct_collapse,Collapse factor levels into manually defined groups
forcats,fct_recode,Change factor levels by hand (specify a new factor level or modify an existing level)
forcats,fct_relevel,Reorder factor levels by hand
forcats,fct_reorder,Reorder factor levels by another variable
ggplot2,+,ggplot's pipe operator (adds a layer to a plot)
ggplot2,aes,Define aesthetics
ggplot2,coord_flip,Switch the mapping to the horizontal and vertical coordinates
ggplot2,geom_bar,Create a bar geometry
ggplot2,ggplot,"Set the data and, potentially, the aesthetics of a plot"
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
sf,st_area,Calculate the area of a polygon shapefile
sf,st_drop_geometry,Remove the geometry column from an sf file and (thus) convert to a data frame
sf,st_join,Conduct a mutating join of a target table relative to the geometry of a source table
sf,st_union,Dissolve boundaries between polygons
stats,median,Calculate the median value of a numeric vector and return as a one-value double numeric or integer vector
stats,setNames,Set the names within an object
stringr,str_detect,Logical test of whether a pattern (string) is contained within a character value
stringr,str_remove,Remove part of a string based on a search pattern
stringr,str_replace,Replace a given pattern in a string with a new pattern
terra,categories,Generate a categorical raster
terra,classify,Classify or reclassify a raster
terra,rasterize,Convert a shapefile to a raster
tibble,as_tibble,Convert a data frame (and some other non-tibble objects!) to a tibble data frame
tibble,tibble,Column-wise creation of a tibble data frame
tibble,tribble,Row-wise creation of a tibble data frame
tidyr,pivot_wider,Convert a data frame from long to wide format
tidyr,replace_na,Replace an NA value in a vector with a different value
tmap,tm_polygons,Add a polygon layer to a tmap
tmap,tm_raster,Add a raster layer to a tmap
tmap,tm_shape,Define the shape that is the source of a tmap layer
tmap,tmap_mode,"Set a tmap to either ""plot"" (static map) or ""view"" (interactive map)"
units,set_units,"Convert a units object from one type of unit to another (e.g., meters to kilometers or degrees Fahrenheit to degrees Celsius)"
