Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,::,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,&,Prefix logical operator (and)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,c,Combine values to form an atomic vector
.Primitive,is.na,A logical test of whether a value in a vector is [NA]
.Primitive,names,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
ape,Moran.I,NA
base,as.matrix,Convert a data frame to a matrix
base,diag,NA
base,file.path,Create a file path by concatenating strings
base,library,Attach the package environment for a given package to the current R session
base,list.files,List files in a specified folder on your computer's hard drive
base,rm,Remove a name from a specified environment (default is the global environment)
base,summary,Print summary stats for a data object
base,tolower,Convert a character vector to lowercase
dplyr,filter,Subset a data frame by logical condition
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,slice,Subset a data frame by row or rows using the row position(s)
ggplot2,+,ggplot's pipe operator (adds a layer to a plot)
ggplot2,aes,Define aesthetics
ggplot2,geom_smooth,Add a line-of-best-fit geometry
ggplot2,ggplot,"Set the data and, potentially, the aesthetics of a plot"
graphics,abline,Add a line to a base R plot
gstat,fit.variogram,NA
gstat,variogram,NA
gstat,vgm,NA
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
pgirmess,correlog,NA
purrr,map,Iterate across a vector and return a list
purrr,pluck,Extract a list item from a list
rlang,set_names,Assign names to values in a vector or items in a list
sf,st_as_sf,Convert a data frame to an sf object
sf,st_coordinates,Extract coordinates from an sf object as a matrix
sf,st_join,Conduct a mutating join of a target table relative to the geometry of a source table
sf,st_read,Read in a simple features or other GIS shapefile
sf,st_transform,Transform the CRS of a shapefile to a different CRS
spdep,moran,NA
spdep,moran.mc,NA
spedep,nb2listw,NA
spedep,poly2nb,NA
stars,st_as_stars,NA
stats,lm,NA
stats,predict,NA
stringr,str_remove,Remove part of a string based on a search pattern
terra,aggregate,Change a raster to courser resolution
terra,distance,NA
terra,plot,Apply a base R-style plot to a terra raster object
terra,rast,"Read in a raster object, create a raster object from scratch, or convert a list of raster objects to a raster stack"
terra,spatSample,NA
terra,vect,Convert an sf object to a SpatVector (or create a SpatVector from scratch)
tmap,tm_dots,Add a points layer to a tmap
tmap,tm_raster,Add a raster layer to a tmap
tmap,tm_shape,Define the shape that is the source of a tmap layer
tmap,tmap_mode,"Set a tmap to either ""plot"" (static map) or ""view"" (interactive map)"
